STRUCTURE,STRUCTURE_ID,ACTION,REF_AREA,MEASURE,FREQ,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MEASURE,UNIT_MULT,CURRENCY,BASE_PER,METHODOLOGY,DECIMALS,PRICE_BASE,ADJUSTMENT
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,NOOQ,A,2007,1.97575882323045,,PT_PB1GQ,0,,,,2,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,NOOQ,A,2008,0.689614717344705,,PT_PB1GQ,0,,,,2,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,NOOQ,A,2009,-0.0978043198010174,,PT_PB1GQ,0,,,,2,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,NOOQ,A,2010,0.655202087517934,,PT_PB1GQ,0,,,,2,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,NOOQ,A,2011,0.722111258092201,,PT_PB1GQ,0,,,,2,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,NOOQ,A,2012,-1.54157136190438,,PT_PB1GQ,0,,,,2,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,NOOQ,A,2013,-7.75337212092243,,PT_PB1GQ,0,,,,2,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,NOOQ,A,2014,1.47082573848591,,PT_PB1GQ,0,,,,2,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,NOOQ,A,2015,-3.62573900539786,,PT_PB1GQ,0,,,,2,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,NOOQ,A,2016,0.330205774544122,,PT_PB1GQ,0,,,,2,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,NOOQ,A,2017,0.412625443601661,,PT_PB1GQ,0,,,,2,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,NOOQ,A,2018,0,,PT_PB1GQ,0,,,,2,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,NOOQ,A,2019,0,,PT_PB1GQ,0,,,,2,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,NOOQ,A,2020,0,,PT_PB1GQ,0,,,,2,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,NOOQ,A,2021,0.188280527532114,,PT_PB1GQ,0,,,,2,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,NOOQ,A,2022,0.362629182184286,,PT_PB1GQ,0,,,,2,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,NOOQ,A,2023,0.778066711916974,,PT_PB1GQ,0,,,,2,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,NOOQ,A,2024,1.26043626811479,,PT_PB1GQ,0,,,,2,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,NOOQ,A,2025,1.66658636528996,,PT_PB1GQ,0,,,,2,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,GDPVD_CAP,A,1995,23598.2934648182,,USD_PPP_PS,0,,2015,,2,L,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,GDPVD_CAP,A,1996,24166.9596112027,,USD_PPP_PS,0,,2015,,2,L,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,GDPVD_CAP,A,1997,25126.3273170422,,USD_PPP_PS,0,,2015,,2,L,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,GDPVD_CAP,A,1998,25960.6944190175,,USD_PPP_PS,0,,2015,,2,L,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,GDPVD_CAP,A,1999,26656.0760587909,,USD_PPP_PS,0,,2015,,2,L,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,GDPVD_CAP,A,2000,27587.8925236764,,USD_PPP_PS,0,,2015,,2,L,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,GDPVD_CAP,A,2001,28578.6912184252,,USD_PPP_PS,0,,2015,,2,L,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,GDPVD_CAP,A,2002,29591.2049374143,,USD_PPP_PS,0,,2015,,2,L,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,GDPVD_CAP,A,2003,31231.1561877055,,USD_PPP_PS,0,,2015,,2,L,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,GDPVD_CAP,A,2004,32730.6702807603,,USD_PPP_PS,0,,2015,,2,L,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,GDPVD_CAP,A,2005,32830.3132756283,,USD_PPP_PS,0,,2015,,2,L,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,GDPVD_CAP,A,2006,34582.0283489082,,USD_PPP_PS,0,,2015,,2,L,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,GDPVD_CAP,A,2007,35623.3072400416,,USD_PPP_PS,0,,2015,,2,L,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,GDPVD_CAP,A,2008,35409.7930243045,,USD_PPP_PS,0,,2015,,2,L,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,GDPVD_CAP,A,2009,33797.95292311,,USD_PPP_PS,0,,2015,,2,L,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,GDPVD_CAP,A,2010,31905.041138682,,USD_PPP_PS,0,,2015,,2,L,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,GDPVD_CAP,A,2011,28709.3314205778,,USD_PPP_PS,0,,2015,,2,L,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,GDPVD_CAP,A,2012,26819.5301932436,,USD_PPP_PS,0,,2015,,2,L,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,GDPVD_CAP,A,2013,26335.013789808,,USD_PPP_PS,0,,2015,,2,L,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,GDPVD_CAP,A,2014,26637.2256212057,,USD_PPP_PS,0,,2015,,2,L,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,GDPVD_CAP,A,2015,26760.5821085871,,USD_PPP_PS,0,,2015,,2,L,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,GDPVD_CAP,A,2016,26741.2408253961,,USD_PPP_PS,0,,2015,,2,L,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,GDPVD_CAP,A,2017,27086.8239385716,,USD_PPP_PS,0,,2015,,2,L,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,GDPVD_CAP,A,2018,27594.6806119094,,USD_PPP_PS,0,,2015,,2,L,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,GDPVD_CAP,A,2019,28122.0329224318,,USD_PPP_PS,0,,2015,,2,L,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,GDPVD_CAP,A,2020,25640.6233408695,,USD_PPP_PS,0,,2015,,2,L,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,GDPVD_CAP,A,2021,27929.9337135278,,USD_PPP_PS,0,,2015,,2,L,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,GDPVD_CAP,A,2022,29728.475223409,,USD_PPP_PS,0,,2015,,2,L,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,GDPVD_CAP,A,2023,30462.6111122039,,USD_PPP_PS,0,,2015,,2,L,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,GDPVD_CAP,A,2024,31194.9447707445,,USD_PPP_PS,0,,2015,,2,L,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,GDPVD_CAP,A,2025,32119.1274143623,,USD_PPP_PS,0,,2015,,2,L,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,YPG,A,1995,43001200000,,XDC,0,EUR,,,2,V,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,YPG,A,1996,46618800000,,XDC,0,EUR,,,2,V,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,YPG,A,1997,48907700000,,XDC,0,EUR,,,2,V,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,YPG,A,1998,51814800000,,XDC,0,EUR,,,2,V,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,YPG,A,1999,56736200000,,XDC,0,EUR,,,2,V,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,YPG,A,2000,59144400000,,XDC,0,EUR,,,2,V,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,YPG,A,2001,63958000000,,XDC,0,EUR,,,2,V,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,YPG,A,2002,67846100000,,XDC,0,EUR,,,2,V,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,YPG,A,2003,74248300000,,XDC,0,EUR,,,2,V,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,YPG,A,2004,82363300000,,XDC,0,EUR,,,2,V,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,YPG,A,2005,85984800000,,XDC,0,EUR,,,2,V,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,YPG,A,2006,93408100000,,XDC,0,EUR,,,2,V,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,YPG,A,2007,103050600000,,XDC,0,EUR,,,2,V,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,YPG,A,2008,112804100000,,XDC,0,EUR,,,2,V,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,YPG,A,2009,120454900000,,XDC,0,EUR,,,2,V,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,YPG,A,2010,115228200000,,XDC,0,EUR,,,2,V,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,YPG,A,2011,111406800000,,XDC,0,EUR,,,2,V,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,YPG,A,2012,101690800000,,XDC,0,EUR,,,2,V,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,YPG,A,2013,90231900000,,XDC,0,EUR,,,2,V,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,YPG,A,2014,89076900000,,XDC,0,EUR,,,2,V,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,YPG,A,2015,88115300000,,XDC,0,EUR,,,2,V,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,YPG,A,2016,87328800000,,XDC,0,EUR,,,2,V,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,YPG,A,2017,86513300000,,XDC,0,EUR,,,2,V,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,YPG,A,2018,86767500000,,XDC,0,EUR,,,2,V,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,YPG,A,2019,87389700000,,XDC,0,EUR,,,2,V,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,YPG,A,2020,91529900000,,XDC,0,EUR,,,2,V,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,YPG,A,2021,96906800000,,XDC,0,EUR,,,2,V,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,YPG,A,2022,104192519830.875,,XDC,0,EUR,,,2,V,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,YPG,A,2023,102854575611.171,,XDC,0,EUR,,,2,V,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,YPG,A,2024,104039871692.578,,XDC,0,EUR,,,2,V,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,YPG,A,2025,108363499758.185,,XDC,0,EUR,,,2,V,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,PMSHX,A,1995,0.824150391457423,,IX,0,,2015,,2,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,PMSHX,A,1996,0.829001913924424,,IX,0,,2015,,2,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,PMSHX,A,1997,0.809362448753948,,IX,0,,2015,,2,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,PMSHX,A,1998,0.856022653220474,,IX,0,,2015,,2,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,PMSHX,A,1999,0.876441456950699,,IX,0,,2015,,2,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,PMSHX,A,2000,0.872579524732327,,IX,0,,2015,,2,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,PMSHX,A,2001,0.936129234347097,,IX,0,,2015,,2,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,PMSHX,A,2002,0.879088155882544,,IX,0,,2015,,2,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,PMSHX,A,2003,0.824136907227405,,IX,0,,2015,,2,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,PMSHX,A,2004,0.814593292907554,,IX,0,,2015,,2,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,PMSHX,A,2005,0.832410006200753,,IX,0,,2015,,2,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,PMSHX,A,2006,0.842211951099764,,IX,0,,2015,,2,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,PMSHX,A,2007,0.841510585523936,,IX,0,,2015,,2,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,PMSHX,A,2008,0.903320416066302,,IX,0,,2015,,2,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,PMSHX,A,2009,0.88928691806276,,IX,0,,2015,,2,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,PMSHX,A,2010,0.883897339547111,,IX,0,,2015,,2,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,PMSHX,A,2011,0.890969982980514,,IX,0,,2015,,2,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,PMSHX,A,2012,0.912405163308386,,IX,0,,2015,,2,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,PMSHX,A,2013,0.908454074487996,,IX,0,,2015,,2,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,PMSHX,A,2014,0.917689501626848,,IX,0,,2015,,2,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,PMSHX,A,2015,1,,IX,0,,2015,,2,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,PMSHX,A,2016,0.969700687713842,,IX,0,,2015,,2,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,PMSHX,A,2017,0.98017622404468,,IX,0,,2015,,2,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,PMSHX,A,2018,0.981598365031669,,IX,0,,2015,,2,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,PMSHX,A,2019,0.995182767309261,,IX,0,,2015,,2,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,PMSHX,A,2020,0.988661286211912,,IX,0,,2015,,2,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,PMSHX,A,2021,1.02338151561985,,IX,0,,2015,,2,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,PMSHX,A,2022,1.20118593934701,,IX,0,,2015,,2,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,PMSHX,A,2023,1.16493432740109,,IX,0,,2015,,2,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,PMSHX,A,2024,1.1396870579479,,IX,0,,2015,,2,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,PMSHX,A,2025,1.16779538012182,,IX,0,,2015,,2,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,YPGQA,A,1995,40.2883473458943,,PT_PB1GQ,0,,,,2,,C
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,YPGQA,A,1996,39.9927998193003,,PT_PB1GQ,0,,,,2,,C
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,YPGQA,A,1997,38.7916445724543,,PT_PB1GQ,0,,,,2,,C
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,YPGQA,A,1998,40.4460899680909,,PT_PB1GQ,0,,,,2,,C
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,YPGQA,A,1999,40.5502130952156,,PT_PB1GQ,0,,,,2,,C
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,YPGQA,A,2000,41.3394016926511,,PT_PB1GQ,0,,,,2,,C
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,YPGQA,A,2001,41.9994635761944,,PT_PB1GQ,0,,,,2,,C
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,YPGQA,A,2002,41.4543709502026,,PT_PB1GQ,0,,,,2,,C
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,YPGQA,A,2003,42.2676800645193,,PT_PB1GQ,0,,,,2,,C
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,YPGQA,A,2004,44.0438379266229,,PT_PB1GQ,0,,,,2,,C
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,YPGQA,A,2005,43.9154099216498,,PT_PB1GQ,0,,,,2,,C
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,YPGQA,A,2006,45.4268538517248,,PT_PB1GQ,0,,,,2,,C
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,YPGQA,A,2007,48.0387392969949,,PT_PB1GQ,0,,,,2,,C
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,YPGQA,A,2008,50.4293103560705,,PT_PB1GQ,0,,,,2,,C
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,YPGQA,A,2009,53.1220037007586,,PT_PB1GQ,0,,,,2,,C
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,YPGQA,A,2010,52.060676542956,,PT_PB1GQ,0,,,,2,,C
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,YPGQA,A,2011,51.3499671134874,,PT_PB1GQ,0,,,,2,,C
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,YPGQA,A,2012,48.6001453437792,,PT_PB1GQ,0,,,,2,,C
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,YPGQA,A,2013,45.4860456650176,,PT_PB1GQ,0,,,,2,,C
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,YPGQA,A,2014,47.0715165740142,,PT_PB1GQ,0,,,,2,,C
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,YPGQA,A,2015,47.6220725300014,,PT_PB1GQ,0,,,,2,,C
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,YPGQA,A,2016,48.0061853389807,,PT_PB1GQ,0,,,,2,,C
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,YPGQA,A,2017,47.5605771823602,,PT_PB1GQ,0,,,,2,,C
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,YPGQA,A,2018,47.5704336963003,,PT_PB1GQ,0,,,,2,,C
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,YPGQA,A,2019,47.377510556204,,PT_PB1GQ,0,,,,2,,C
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,YPGQA,A,2020,49.2683982917018,,PT_PB1GQ,0,,,,2,,C
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,YPGQA,A,2021,50.3301587915048,,PT_PB1GQ,0,,,,2,,C
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,YPGQA,A,2022,49.4331521645022,,PT_PB1GQ,0,,,,2,,C
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,YPGQA,A,2023,45.4464720621434,,PT_PB1GQ,0,,,,2,,C
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,YPGQA,A,2024,43.9802346217899,,PT_PB1GQ,0,,,,2,,C
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,YPGQA,A,2025,44.0287685310377,,PT_PB1GQ,0,,,,2,,C
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,WSSS,A,1995,27203966662.5601,,XDC,0,EUR,,,2,V,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,WSSS,A,1996,29633741370,,XDC,0,EUR,,,2,V,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,WSSS,A,1997,33761736569,,XDC,0,EUR,,,2,V,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,WSSS,A,1998,37458737284,,XDC,0,EUR,,,2,V,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,WSSS,A,1999,40741264626,,XDC,0,EUR,,,2,V,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,WSSS,A,2000,43481615979,,XDC,0,EUR,,,2,V,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,WSSS,A,2001,46906399474,,XDC,0,EUR,,,2,V,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,WSSS,A,2002,54048296588,,XDC,0,EUR,,,2,V,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,WSSS,A,2003,59461463301,,XDC,0,EUR,,,2,V,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,WSSS,A,2004,64137729152,,XDC,0,EUR,,,2,V,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,WSSS,A,2005,68270614940,,XDC,0,EUR,,,2,V,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,WSSS,A,2006,73066422435,,XDC,0,EUR,,,2,V,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,WSSS,A,2007,78440896311,,XDC,0,EUR,,,2,V,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,WSSS,A,2008,82947216462,,XDC,0,EUR,,,2,V,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,WSSS,A,2009,84874089309,,XDC,0,EUR,,,2,V,
